AC Tours;2398PB;2023-01-27 00:00:00.000;2023-01-29 00:00:00.000;CF26998SE004176;PREFERRED HOTELS;HOTEL MAYFAIR PARIS CON;284.0000;EUR;Paris
AC Tours;2398PB;2023-04-10 00:00:00.000;2023-04-12 00:00:00.000;CF6838SE004095;THE LEADING HOTELS;HOTEL SPLENDIDE ROYAL;606.0000;CHF;Lugano
AC Tours;2398PB;2023-04-12 00:00:00.000;2023-04-14 00:00:00.000;CF6789SE039838;THE LEADING HOTELS;VILLA D ESTE;1320.0000;EUR;NULL
AC Tours;2398PB;2023-04-14 00:00:00.000;2023-04-16 00:00:00.000;CF30348SE002619;SMALL LUXURY HOTELS;GALLERIA VIK MILANO;700.0000;EUR;Milan
AC Tours;2398PB;2023-04-19 00:00:00.000;2023-04-23 00:00:00.000;CF27941681;INTERCONTINENTAL;INTERCONTINENTAL PALACIO DAS;450.0000;EUR;Porto
AC Tours;2398PB;2023-04-03 00:00:00.000;2023-04-08 00:00:00.000;CFB793XD2518;ACCOR HOTELS;HOTEL ROYAL SAINT HONORE;389.0000;EUR;Paris
AC Tours;2398PB;2023-04-10 00:00:00.000;2023-04-12 00:00:00.000;CF6838SE004095;THE LEADING HOTELS;HOTEL SPLENDIDE ROYAL;606.0000;CHF;Lugano
AC Tours;2398PB;2023-04-12 00:00:00.000;2023-04-14 00:00:00.000;CF6789SE039838;THE LEADING HOTELS;VILLA D ESTE;1320.0000;EUR;NULL
AC Tours;2398PB;2023-04-14 00:00:00.000;2023-04-16 00:00:00.000;CF30348SE002619;SMALL LUXURY HOTELS;GALLERIA VIK MILANO;700.0000;EUR;Milan
AC Tours;2398PB;2023-04-16 00:00:00.000;2023-04-19 00:00:00.000;CF29859SE003784;citizenM Hotels;CITIZENM GENEVA;449.0000;CHF;Geneva
